iter	Logloss
161	0.4307702553
162	0.4302300506
163	0.4296840015
164	0.4291840571
165	0.4287592598
166	0.4281915296
167	0.4276231633
168	0.4271006024
169	0.4265999215
170	0.426008709
171	0.4253568884
172	0.4248592811
173	0.4243518519
174	0.4239209183
175	0.4234053996
176	0.4228337325
177	0.4221875633
178	0.4215724641
179	0.4210637246
180	0.4205692185
181	0.4199854474
182	0.4194601416
183	0.4188857138
184	0.4183692937
185	0.4177940426
186	0.4172529795
187	0.4167625082
188	0.4162646998
189	0.4157560611
190	0.4153522811
191	0.4149252741
192	0.4144527755
193	0.4139578308
194	0.4134228668
195	0.4129323998
196	0.4124033674
197	0.4121029701
198	0.4115606753
199	0.4111021604
200	0.4106350774
201	0.4101393354
202	0.4096539558
203	0.4092456081
204	0.4088096898
205	0.4084213232
206	0.4079681499
207	0.4075390659
208	0.4070517603
209	0.4065708396
210	0.406067782
211	0.4056162128
212	0.4051675924
213	0.4046498055
214	0.404137359
215	0.4036720021
216	0.40320971
217	0.402760248
218	0.402162757
219	0.4017124416
220	0.4012189781
221	0.4008869271
222	0.4004643676
223	0.4001100849
224	0.3997159114
225	0.3993916389
226	0.3989496112
227	0.3985333069
228	0.3979666901
229	0.3973918799
230	0.396955126
231	0.3965488604
232	0.3961464968
233	0.3957469916
234	0.3953357584
235	0.3949603191
236	0.3946391145
237	0.3941796589
238	0.3937951023
239	0.3934717916
240	0.3930349927
241	0.3925408105
242	0.3921289982
243	0.3917612164
244	0.3913865386
245	0.39094667
246	0.3905439105
247	0.3901396311
248	0.3896951139
249	0.3892968626
250	0.3890361013
251	0.3886973822
252	0.3883131667
253	0.3877947941
254	0.3873552332
255	0.3869714366
256	0.3864894523
257	0.3861327586
258	0.3856912159
259	0.385372598
260	0.3849900199
261	0.3845679292
262	0.3842385867
263	0.3837517307
264	0.3834223039
265	0.3830370988
266	0.3826337085
267	0.3822633082
268	0.3818434026
269	0.3814239162
270	0.3810498391
271	0.3807620481
272	0.3804357675
273	0.3800313913
274	0.379688546
275	0.3793725622
276	0.3790239697
277	0.3786878214
278	0.3782716387
279	0.3777737069
280	0.3773604491
281	0.3770269302
282	0.3765226582
283	0.376144723
284	0.3757671601
285	0.3753185452
286	0.3749277294
287	0.374561515
288	0.374225068
289	0.3738891741
290	0.3735706954
291	0.3731105812
292	0.3727394482
293	0.3724251146
294	0.3720705097
295	0.3716816062
296	0.3712405539
297	0.370929011
298	0.3705362653
299	0.3701520197
300	0.3698890742
301	0.3695659351
302	0.3693054235
303	0.3689741561
304	0.3686547503
305	0.3683778371
306	0.3679836241
307	0.3676597601
308	0.3672583219
309	0.3669258072
310	0.3665914421
311	0.3663064671
312	0.365838768
313	0.3656388516
314	0.3652759625
315	0.3649297629
316	0.3646399705
317	0.3642313605
318	0.3639561855
319	0.3636330473
320	0.3632384341
321	0.3628970421
322	0.3625583462
323	0.3621486945
324	0.3618839374
325	0.3615276228
326	0.3611195119
327	0.3607400088
328	0.3603541036
329	0.3600232593
330	0.3596931621
331	0.3593222362
332	0.3589374541
333	0.3585004749
334	0.358032538
335	0.3577017938
336	0.3574304426
337	0.3570611327
338	0.3566399092
339	0.3563152141
340	0.3560638419
341	0.3557097923
342	0.3553163718
343	0.3549253138
344	0.3545445085
345	0.3542760715
346	0.3539025729
347	0.353523238
348	0.3532256099
349	0.3528185531
350	0.3524448641
351	0.3521223196
352	0.3517652909
353	0.3514154534
354	0.3510665834
355	0.3507762263
356	0.3505395643
357	0.3501976305
358	0.3498261906
359	0.3494677098
360	0.3490823635
361	0.3487125655
362	0.3483580839
363	0.3479741741
364	0.3476646818
365	0.3473487674
366	0.3469395756
367	0.3465622619
368	0.346213535
369	0.3460145294
370	0.3457117805
371	0.3453018749
372	0.3450470868
373	0.3446360511
374	0.3442626263
375	0.3438997021
376	0.3436159177
377	0.3433359428
378	0.3430148313
379	0.3425738011
380	0.3422447192
381	0.3418637548
382	0.3414421022
383	0.3411139215
384	0.3407947706
385	0.3404432817
386	0.3401048774
387	0.3396878336
388	0.3393156937
389	0.3389557844
390	0.3384822491
391	0.3381189708
392	0.3377077108
393	0.3373156535
394	0.3369893937
395	0.3366751846
396	0.3362544105
397	0.3358973743
398	0.3355518993
399	0.3351967054
400	0.3348372448
401	0.3345195984
402	0.3342117865
403	0.3339061873
404	0.3335396422
405	0.3331519994
406	0.3327709512
407	0.3324871753
408	0.3321374216
409	0.3318037056
410	0.331511211
411	0.3311840679
412	0.3307797427
413	0.3304720131
414	0.33012417
415	0.32983022
416	0.3294728885
417	0.3291795814
418	0.3288733283
419	0.3285541492
420	0.3282126056
421	0.3277932473
422	0.327499684
423	0.3271805422
424	0.3267479546
425	0.3265005439
426	0.3261283041
427	0.3257981878
428	0.3253924198
429	0.3251520147
430	0.324732506
431	0.3244272555
432	0.324037487
433	0.3236045198
434	0.323200748
435	0.3227596504
436	0.3223896887
437	0.3220222926
438	0.3216804697
439	0.3213329178
440	0.3210774215
441	0.3206764122
442	0.320305228
443	0.3198936952
444	0.3196035277
445	0.3192677675
446	0.3189397567
447	0.3184889197
448	0.3181926595
449	0.3178163286
450	0.3174687699
451	0.3171029346
452	0.3167872941
453	0.3164658044
454	0.3160938656
455	0.3157269207
456	0.315441899
457	0.3150428203
458	0.3146690027
459	0.314329508
460	0.31402704
461	0.3136541322
462	0.3133134655
463	0.3129224017
464	0.3125971449
465	0.3122024571
466	0.3119231331
467	0.3115134516
468	0.3111255037
469	0.3106957992
470	0.3103746097
471	0.3099343208
472	0.309573797
473	0.30923562
474	0.3088350837
475	0.3084697622
476	0.3081644689
477	0.3079091964
478	0.3074743597
479	0.3070842365
480	0.3066689147
481	0.3062473549
482	0.3058999834
483	0.3055149538
484	0.3052175347
485	0.304859165
486	0.3044742627
487	0.3041223482
488	0.3037249856
489	0.3033858488
490	0.3030121479
491	0.3026752973
492	0.3023027895
493	0.301853903
494	0.301460537
495	0.3011939328
496	0.3008681595
497	0.3004543872
498	0.3000183311
499	0.2997399475
500	0.2994198789
501	0.2990257442
502	0.2986622027
503	0.2983491832
504	0.2979745099
505	0.2976230648
506	0.2972863233
507	0.2969426376
508	0.2965198771
509	0.2961774041
510	0.2958944866
511	0.2955339355
512	0.2951250118
513	0.2947212256
514	0.2942724197
515	0.2939647599
516	0.2936052857
517	0.2932935052
518	0.292912498
519	0.2925811735
520	0.2921937059
521	0.2917795147
522	0.2914168206
523	0.29112987
524	0.2908176729
525	0.2904928104
526	0.2901254848
527	0.2897688199
528	0.2893796004
529	0.2889540514
530	0.2885493588
531	0.2881275613
532	0.2878173766
533	0.2875045043
534	0.2871205851
535	0.286747397
536	0.286440013
537	0.2860071028
538	0.2856707144
539	0.2853205841
540	0.2849496347
541	0.2845674851
542	0.2842390066
543	0.2839495905
544	0.2835873434
545	0.2831945802
546	0.2828000517
547	0.2824185726
548	0.2820719548
549	0.2816689877
550	0.2813086047
551	0.2809245754
552	0.2806454146
553	0.2802550113
554	0.2799314652
555	0.2796388757
556	0.2793045246
557	0.2789916634
558	0.2785760721
559	0.2782579782
560	0.2778771309
561	0.2776262264
562	0.277297768
563	0.2769911585
564	0.2766616817
565	0.2763895847
566	0.2760149599
567	0.2757480252
568	0.275424371
569	0.275081823
570	0.2747765548
571	0.2743988065
572	0.2740717819
573	0.273709893
574	0.273476867
575	0.273129051
576	0.2728027901
577	0.2725073505
578	0.2722022594
579	0.2719146446
580	0.2715964744
581	0.2713174984
582	0.2709237856
583	0.2706415488
584	0.270291641
585	0.2699960464
586	0.2696769743
587	0.2693921217
588	0.2690742592
589	0.2687881455
590	0.2684887085
591	0.268116724
592	0.2677682668
593	0.2674193432
594	0.2670340868
595	0.2667611637
596	0.2664381808
597	0.2661095378
598	0.2658279815
599	0.2654461631
600	0.2650868778
601	0.264753642
602	0.2643870239
603	0.2640509272
604	0.263770822
605	0.2634701304
606	0.2630826913
607	0.2628302566
608	0.2625373067
609	0.2622058007
610	0.2619198807
611	0.2615769051
612	0.2612487
613	0.2609207923
614	0.2606823715
615	0.2603888983
616	0.2600653648
617	0.2597660664
618	0.2594757925
619	0.2591187231
620	0.2587498056
621	0.2583706893
622	0.2580534968
623	0.2577861209
624	0.2574553001
625	0.2571355775
626	0.2568050114
627	0.2564239449
628	0.2561179167
629	0.255780898
630	0.2554550891
631	0.2551971083
632	0.2549085683
633	0.2546698107
634	0.2543804186
635	0.254099562
636	0.2537568619
637	0.2534815779
638	0.2532148624
639	0.2529031007
640	0.2526086301
641	0.2523194624
642	0.2519975994
643	0.2516626243
644	0.2513392668
645	0.2510428103
646	0.2507398092
647	0.2504870226
648	0.2501822188
649	0.2498691514
650	0.2495714742
651	0.2492728266
652	0.2489122741
653	0.2485734282
654	0.2482669652
655	0.2480184963
656	0.2477312679
657	0.2474548109
658	0.247178541
659	0.2468923393
660	0.2466025357
661	0.2463685748
662	0.2460468746
663	0.245831931
664	0.2455066052
665	0.2452499512
666	0.2449818198
667	0.2446817497
668	0.2443760134
669	0.2440835793
670	0.243788155
671	0.2434268201
672	0.243196558
673	0.2428882971
674	0.2426299642
675	0.242339762
676	0.2420676822
677	0.2417874649
678	0.2415756865
679	0.2412722393
680	0.2409526491
681	0.2406820578
682	0.2403878107
683	0.2400880604
684	0.2397687687
685	0.2394558922
686	0.2392429485
687	0.2389475871
688	0.2386563157
689	0.2384028527
690	0.2380653223
691	0.2378026916
692	0.2374828467
693	0.2371638747
694	0.2369734944
695	0.2366892562
696	0.2364630777
697	0.2361609535
698	0.2358263443
699	0.2355665254
700	0.2352387107
701	0.2349532511
702	0.2346924264
703	0.2344450445
704	0.2341992277
705	0.2339372265
706	0.2336742678
707	0.2333884626
708	0.2331194053
709	0.2328055786
710	0.2324786847
711	0.2322835108
712	0.2320196542
713	0.231751507
714	0.2315313137
715	0.2313271527
716	0.2310052394
717	0.2307254959
718	0.2304457169
719	0.2302066963
720	0.2299153608
721	0.2296203735
722	0.2293081794
723	0.2290456774
724	0.2287769198
725	0.228529022
726	0.2282354897
727	0.228003074
728	0.2277693495
729	0.2274894122
730	0.2272469817
731	0.2270484091
732	0.2267702112
733	0.2265381971
734	0.2263172349
735	0.2260349656
736	0.2257767855
737	0.2255504272
738	0.2252842174
739	0.225019909
740	0.2247359282
741	0.2244711001
742	0.2242944477
743	0.2240196536
744	0.2237106432
745	0.2235451956
746	0.2232983318
747	0.2230408095
748	0.2228016227
749	0.222548483
750	0.2222802483
751	0.2219743291
752	0.2217284211
753	0.221494124
754	0.2212830571
755	0.2210852041
756	0.2208291433
757	0.2205350674
758	0.2202519572
759	0.2200005322
760	0.2197713034
761	0.2195631838
762	0.2193160783
763	0.219100407
764	0.2188730891
765	0.2185974694
766	0.2183302685
767	0.2180415577
768	0.2178537046
769	0.2175648916
770	0.2173668002
771	0.2171293286
772	0.2168473055
773	0.2165899835
774	0.2163216143
775	0.2160450729
776	0.215780596
777	0.2155855623
778	0.2153401324
779	0.2151127822
780	0.2149130773
781	0.214688486
782	0.2145191756
783	0.2143629462
784	0.2140748899
785	0.2137991594
786	0.2135236595
787	0.2133065672
788	0.2130729059
789	0.2128135798
790	0.2124954008
791	0.2122227948
792	0.2120056115
793	0.2117524999
794	0.2115930726
795	0.2113603805
796	0.2110495951
797	0.2107681747
798	0.2105134957
799	0.2102418226
800	0.2099524493
801	0.2097630231
802	0.2095124336
803	0.2092772893
804	0.2091100932
805	0.2088460657
806	0.2086249336
807	0.2083502387
808	0.2080818698
809	0.2078166533
810	0.2076121525
811	0.2074051361
812	0.207203739
813	0.2068889333
814	0.2066749714
815	0.206480589
816	0.2062893628
817	0.2060612727
818	0.2058710498
819	0.2056137628
820	0.2053510032
821	0.2050901264
822	0.2048390255
823	0.2046156998
824	0.2043557957
825	0.204141333
826	0.2038952064
827	0.2036837937
828	0.2034393554
829	0.2032124266
830	0.2029230402
831	0.2026977449
832	0.2025673841
833	0.2023118055
834	0.2021053299
835	0.2018396609
836	0.2016162196
837	0.2014402379
838	0.2012671863
839	0.2010179676
840	0.2008040381
841	0.2006249868
842	0.2003919787
843	0.2001744622
844	0.1999842381
845	0.1997423582
846	0.1995237536
847	0.1992854502
848	0.1990571063
849	0.1988183348
850	0.1985911865
851	0.1983853217
852	0.198237687
853	0.1980570082
854	0.197851072
855	0.1976716297
856	0.1974410262
857	0.197207457
858	0.1970449014
859	0.1967970311
860	0.1965772861
861	0.1964009433
862	0.1961907005
863	0.1960102443
864	0.1958362836
865	0.1955858008
866	0.1954134198
867	0.1951817109
868	0.1949749684
869	0.1947568337
870	0.1945501249
871	0.1943238976
872	0.1941669703
873	0.1939219796
874	0.1936990541
875	0.1934866943
876	0.1932971221
877	0.1930852255
878	0.1928781367
879	0.192715944
880	0.1925092441
881	0.1922856077
882	0.1920503021
883	0.1918801855
884	0.1916561003
885	0.1915001422
886	0.1912725699
887	0.1910600373
888	0.1908593337
889	0.1907153791
890	0.1905136833
891	0.1902899485
892	0.19007764
893	0.1899264864
894	0.189750189
895	0.1895190387
896	0.1893339765
897	0.1891461326
898	0.1889505294
899	0.1887359435
900	0.1885755648
901	0.1883751494
902	0.1881557603
903	0.1879740575
904	0.1877503959
905	0.1875240856
906	0.1872967225
907	0.1871498041
908	0.1869956936
909	0.1867970029
910	0.1865595011
911	0.1863053982
912	0.1860598706
913	0.1858220342
914	0.1856301792
915	0.1854347397
916	0.1852204911
917	0.1850674292
918	0.1848562229
919	0.1846550211
920	0.1844523769
921	0.184227846
922	0.1840613803
923	0.1838908773
924	0.1836548697
925	0.1834726311
926	0.1832550022
927	0.1830212476
928	0.182854176
929	0.1826512398
930	0.1824506701
931	0.1822436991
932	0.1820321877
933	0.1818132783
934	0.1816749074
935	0.1814545358
936	0.1812420068
937	0.1810612366
938	0.1808744492
939	0.1806866193
940	0.180500558
941	0.1803350932
942	0.1800968107
943	0.1799349578
944	0.1797134194
945	0.1795324816
946	0.1793773366
947	0.1791673117
948	0.1789374567
949	0.178738252
950	0.1785876379
951	0.1784323016
952	0.1783194201
953	0.1781653843
954	0.1779531594
955	0.1777511874
956	0.177573443
957	0.1773562621
958	0.1771790565
959	0.1770259947
960	0.1768169678
961	0.1766525206
962	0.1764560091
963	0.1762718366
964	0.1761089784
965	0.1759056229
966	0.1757162879
967	0.1755205994
968	0.1753319263
969	0.1751255459
970	0.1749975501
971	0.1747917634
972	0.1746150596
973	0.1743886683
974	0.1741731549
975	0.1739756927
976	0.1738289201
977	0.1736560292
978	0.173479477
979	0.173317234
980	0.1730934086
981	0.1729050782
982	0.1727072721
983	0.1724919273
984	0.1723078939
985	0.1720964306
986	0.171879934
987	0.1716657004
988	0.1714609569
989	0.1712964289
990	0.171079837
991	0.1708594003
992	0.1706861111
993	0.170496253
994	0.1702825857
995	0.1701048261
996	0.1698961623
997	0.169663808
998	0.1694949991
999	0.1693841172
